#Organism/Name	Strain	CladeID	BioSample	BioProject	Group	SubGroup	Assembly	Size (Mb)	GC%	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Level	RefSeq FTP	GenBank FTP
Escherichia coli W	W	19668	SAMN02604169 	PRJNA62301	Proteobacteria	Gammaproteobacteria	GCA_000258145.1 	5.00535	50.7764	chromosome:NC_017664.1/CP002967.1; plasmid pRK1:NC_017665.1/CP002968.1; plasmid pRK2:NC_017662.1/CP002969.1	-	3	5186	4907	2012/04/06	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/258/145/GCF_000258145.1_ASM25814v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/258/145/GCA_000258145.1_ASM25814v1
Escherichia coli Xuzhou21	Xuzhou21	19668	SAMN02603645 	PRJNA45823	Proteobacteria	Gammaproteobacteria	GCA_000262125.1 	5.51674	50.3828	chromosome:NC_017906.1/CP001925.1; plasmid pO157:NC_017907.1/CP001926.1; plasmid pO157_Sal:NC_017903.1/CP001927.1	-	3	5854	5457	2012/05/09	2017/03/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/262/125/GCF_000262125.1_ASM26212v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/262/125/GCA_000262125.1_ASM26212v1
Escherichia coli DH1	DH1	19668	SAMD00060976 	PRJDA52077	Proteobacteria	Gammaproteobacteria	GCA_000270105.1 	4.62143	50.8	chromosome:NC_017638.1/AP012030.1	-	1	4749	4425	2010/12/17	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/105/GCF_000270105.1_ASM27010v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/105/GCA_000270105.1_ASM27010v1
Escherichia coli LF82	LF82	19668	SAMEA3138414 	PRJNA33825	Proteobacteria	Gammaproteobacteria	GCA_000284495.1 	4.77311	50.7	chromosome:NC_011993.1/CU651637.1	-	1	4855	4586	2009/01/23	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/495/GCF_000284495.1_ASM28449v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/495/GCA_000284495.1_ASM28449v1
Escherichia coli O25b:H4-ST131	EC958	19668	SAMEA2272019 	PRJEA61443	Proteobacteria	Gammaproteobacteria	GCA_000285655.3 	5.24945	50.8431	chromosome I:NZ_HG941718.1/HG941718.1; plasmid pEC958:NZ_HG941719.1/HG941719.1; plasmid pEC958B:NZ_HG941720.1/HG941720.1	-	3	5472	5109	2014/03/11	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/285/655/GCF_000285655.3_EC958.v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/285/655/GCA_000285655.3_EC958.v1
Escherichia coli O104:H4 str. 2009EL-2050	2009EL-2050	19668	SAMN01831189 	PRJNA81097	Proteobacteria	Gammaproteobacteria	GCA_000299255.1 	5.43817	50.5424	chromosome:NC_018650.1/CP003297.1; plasmid p09EL50:NC_018651.1/CP003298.1; plasmid pAA-09EL50:NC_018654.1/CP003299.1; plasmid pG-09EL50:NC_018652.1/CP003300.1	-	4	5769	5349	2012/09/25	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/299/255/GCF_000299255.1_ASM29925v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/255/GCA_000299255.1_ASM29925v1
Escherichia coli O104:H4 str. 2009EL-2071	2009EL-2071	19668	SAMN01831190 	PRJNA81099	Proteobacteria	Gammaproteobacteria	GCA_000299475.1 	5.38971	50.651	chromosome:NC_018661.1/CP003301.1; plasmid pAA-09EL71:NC_018662.1/CP003302.1; plasmid pG-09EL71:NC_018663.1/CP003303.1	-	3	5715	5283	2012/09/27	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/299/475/GCF_000299475.1_ASM29947v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/475/GCA_000299475.1_ASM29947v1
Escherichia coli APEC O78	APEC O78	19668	SAMN02603426 	PRJNA184588	Proteobacteria	Gammaproteobacteria	GCA_000332755.1 	4.79843	50.7	chromosome:NC_020163.1/CP004009.1	-	1	4975	4641	2013/01/23	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/332/755/GCF_000332755.1_ASM33275v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/332/755/GCA_000332755.1_ASM33275v1
Escherichia coli str. K-12 substr. MDS42	K-12 substr. MDS42	19668	SAMD00006056 	PRJDB5	Proteobacteria	Gammaproteobacteria	GCA_000350185.1 	3.9762	51.1	chromosome:NC_020518.1/AP012306.1	-	1	4017	3780	2011/12/03	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/350/185/GCF_000350185.1_ASM35018v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/350/185/GCA_000350185.1_ASM35018v1
Escherichia coli O104:H21 str. CFSAN002236	CFSAN002236	19668	SAMN02147037 	PRJNA230969	Proteobacteria	Gammaproteobacteria	GCA_000464955.2 	5.04592	50.6616	chromosome:NZ_CP023541.1/CP023541.1; plasmid pO104_H21:NZ_CP023542.1/CP023542.1	-	2	5211	4866	2017/09/21	2017/10/16	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/464/955/GCF_000464955.2_ASM46495v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/464/955/GCA_000464955.2_ASM46495v2
Escherichia coli LY180	LY180	19668	SAMN02604176 	PRJNA203308	Proteobacteria	Gammaproteobacteria	GCA_000468515.1 	4.8356	50.9	chromosome:NC_022364.1/CP006584.1	-	1	4974	4657	2013/09/18	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/468/515/GCF_000468515.1_ASM46851v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/468/515/GCA_000468515.1_ASM46851v1
synthetic Escherichia coli C321.deltaA	C321.deltaA	-	SAMN02603139 	PRJNA215084	Proteobacteria	Gammaproteobacteria	GCA_000474035.1 	4.64355	50.8	chromosome:CP006698.1	-	1	4508	4103	2013/10/18	2015/01/21	Complete Genome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/474/035/GCA_000474035.1_ASM47403v1
Escherichia coli JJ1886	JJ1886	19668	SAMN02603887 	PRJNA218163	Proteobacteria	Gammaproteobacteria	GCA_000493755.1 	5.30828	50.7667	chromosome:NC_022648.1/CP006784.1; plasmid pJJ1886_1:NC_022661.1/CP006785.1; plasmid pJJ1886_2:NC_022649.1/CP006786.1; plasmid pJJ1886_3:NC_022662.1/CP006787.1; plasmid pJJ1886_4:NC_022650.1/CP006788.1; plasmid pJJ1886_5:NC_022651.1/CP006789.1	-	6	5589	5238	2013/10/29	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/493/755/GCF_000493755.1_ASM49375v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/493/755/GCA_000493755.1_ASM49375v1
Escherichia coli str. K-12 substr. MC4100	K-12 substr. MC4100	19668	SAMEA3138816 	PRJEB4621	Proteobacteria	Gammaproteobacteria	GCA_000499485.1 	4.52725	50.8	chromosome I:NZ_HG738867.1/HG738867.1	-	1	4654	4341	2013/11/05	2017/02/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/485/GCF_000499485.1_MYMC4100	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/499/485/GCA_000499485.1_MYMC4100
Escherichia coli O145:H28 str. RM13514	RM13514	19668	SAMN02641383 	PRJNA178648	Proteobacteria	Gammaproteobacteria	GCA_000520035.1 	5.73729	50.6743	chromosome:NZ_CP006027.1/CP006027.1; plasmid pO145-13514:NZ_CP006028.1/CP006028.1; plasmid pRM13514:NZ_CP006029.1/CP006029.1	-	3	6106	5554	2014/01/14	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/520/035/GCF_000520035.1_ASM52003v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/520/035/GCA_000520035.1_ASM52003v1
Escherichia coli O145:H28 str. RM13516	RM13516	19668	SAMN02641384 	PRJNA178650	Proteobacteria	Gammaproteobacteria	GCA_000520055.1 	5.55901	50.5948	chromosome:NZ_CP006262.1/CP006262.1; plasmid pO145-13516:NZ_CP006263.1/CP006263.1; plasmid pRM13516:NZ_CP006264.1/CP006264.1	-	3	5899	5418	2014/01/14	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/520/055/GCF_000520055.1_ASM52005v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/520/055/GCA_000520055.1_ASM52005v1
Escherichia coli	ST540	19668	SAMN02647163 	PRJNA238952	Proteobacteria	Gammaproteobacteria	GCA_000597845.1 	4.75863	51.1	chromosome:NZ_CP007265.1/CP007265.1	-	1	4948	4524	2014/03/19	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/597/845/GCF_000597845.1_ASM59784v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/597/845/GCA_000597845.1_ASM59784v1
Escherichia coli	ST540	19668	SAMN02666434 	PRJNA238952	Proteobacteria	Gammaproteobacteria	GCA_000599625.1 	4.80798	51	chromosome:NZ_CP007390.1/CP007390.1	-	1	5005	4557	2014/03/19	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/599/625/GCF_000599625.1_ASM59962v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/599/625/GCA_000599625.1_ASM59962v1
Escherichia coli	ST540	19668	SAMN02666695 	PRJNA238952	Proteobacteria	Gammaproteobacteria	GCA_000599645.1 	4.87568	51	chromosome:NZ_CP007391.1/CP007391.1	-	1	5096	4582	2014/03/19	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/599/645/GCF_000599645.1_ASM59964v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/599/645/GCA_000599645.1_ASM59964v1
Escherichia coli	ST2747	19668	SAMN02666696 	PRJNA238952	Proteobacteria	Gammaproteobacteria	GCA_000599665.1 	5.05451	50.7	chromosome:NZ_CP007392.1/CP007392.1	-	1	5101	4751	2014/03/19	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/599/665/GCF_000599665.1_ASM59966v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/599/665/GCA_000599665.1_ASM59966v1
Escherichia coli	ST2747	19668	SAMN02666697 	PRJNA238952	Proteobacteria	Gammaproteobacteria	GCA_000599685.1 	4.99891	50.7	chromosome:NZ_CP007393.1/CP007393.1	-	1	5075	4710	2014/03/19	2016/11/27	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/599/685/GCF_000599685.1_ASM59968v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/599/685/GCA_000599685.1_ASM59968v1
Escherichia coli	ST2747	19668	SAMN02666698 	PRJNA238952	Proteobacteria	Gammaproteobacteria	GCA_000599705.1 	5.09044	50.8	chromosome:NZ_CP007394.1/CP007394.1	-	1	5175	4640	2014/03/19	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/599/705/GCF_000599705.1_ASM59970v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/599/705/GCA_000599705.1_ASM59970v1
Escherichia coli O145:H28 str. RM12761	RM12761	19668	SAMN03081526 	PRJNA178649	Proteobacteria	Gammaproteobacteria	GCA_000662395.1 	5.55901	50.5948	chromosome:NZ_CP007133.1/CP007133.1; plasmid pO145-12761:NZ_CP007135.1/CP007135.1; plasmid pRM12761:NZ_CP007134.1/CP007134.1	-	3	5901	5419	2014/05/01	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/662/395/GCF_000662395.1_ASM66239v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/662/395/GCA_000662395.1_ASM66239v1
Escherichia coli O145:H28 str. RM12581	RM12581	19668	SAMN03081527 	PRJNA178647	Proteobacteria	Gammaproteobacteria	GCA_000671295.1 	5.73729	50.6743	chromosome:NZ_CP007136.1/CP007136.1; plasmid pO145-12581:NZ_CP007138.1/CP007138.1; plasmid pRM12581:NZ_CP007137.1/CP007137.1	-	3	6104	5550	2014/05/01	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/671/295/GCF_000671295.1_ASM67129v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/671/295/GCA_000671295.1_ASM67129v1
Escherichia coli Nissle 1917	Nissle 1917	19668	SAMN02794012 	PRJNA248167	Proteobacteria	Gammaproteobacteria	GCA_000714595.1 	5.4412	50.6	chromosome:NZ_CP007799.1/CP007799.1	-	1	5720	5084	2014/06/27	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/714/595/GCF_000714595.1_ASM71459v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/714/595/GCA_000714595.1_ASM71459v1
Escherichia coli B7A	B7A	19668	SAMN02918008 	PRJNA205485	Proteobacteria	Gammaproteobacteria	GCA_000725265.1 	5.23044	50.7206	chromosome:NZ_CP005998.1/CP005998.1; plasmid pEB1:NZ_CP005999.1/CP005999.1; plasmid pEB2:NZ_CP006000.1/CP006000.1; plasmid pEB3:NZ_CP006001.1/CP006001.1; plasmid pEB4:NZ_CP006002.1/CP006002.1	-	5	5547	4880	2014/07/14	2017/08/08	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/725/265/GCF_000725265.1_ASM72526v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/725/265/GCA_000725265.1_ASM72526v1
Escherichia coli KLY	KLY	19668	SAMN02440167 	PRJNA229104	Proteobacteria	Gammaproteobacteria	GCA_000725305.1 	4.71854	50.7	chromosome:NZ_CP008801.1/CP008801.1	-	1	4864	4539	2014/07/14	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/725/305/GCF_000725305.1_ASM72530v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/725/305/GCA_000725305.1_ASM72530v1
Escherichia coli O157:H7 str. SS17	SS17	19668	SAMN02872945 	PRJNA200626	Proteobacteria	Gammaproteobacteria	GCA_000730345.1 	5.65594	50.385	chromosome:NZ_CP008805.1/CP008805.1; plasmid p0157:NZ_CP008806.1/CP008806.1; plasmid pSS17:NZ_CP008807.1/CP008807.1	-	3	6061	5599	2014/07/17	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/730/345/GCF_000730345.1_ASM73034v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/730/345/GCA_000730345.1_ASM73034v1
Escherichia coli O157:H7 str. EDL933	EDL933	19668	SAMN02905113 	PRJNA253471	Proteobacteria	Gammaproteobacteria	GCA_000732965.1 	5.6394	50.4527	chromosome:NZ_CP008957.1/CP008957.1; plasmid unnamed:NZ_CP008958.1/CP008958.1	-	2	6035	5593	2014/07/24	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/732/965/GCF_000732965.1_ASM73296v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/732/965/GCA_000732965.1_ASM73296v1
Escherichia coli ATCC 25922	ATCC 25922	19668	SAMN02929659 	PRJNA244551	Proteobacteria	Gammaproteobacteria	GCA_000743255.1 	5.20344	50.3906	chromosome:NZ_CP009072.1/CP009072.1; plasmid unnamed_1:NZ_CP009073.1/CP009073.1; plasmid unnamed_2:NZ_CP009074.1/CP009074.1	-	3	5374	5035	2014/08/22	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/743/255/GCF_000743255.1_ASM74325v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/743/255/GCA_000743255.1_ASM74325v1
Escherichia coli BW25113	K-12 substr. BW25113	19668	SAMN03013572 	PRJNA257976	Proteobacteria	Gammaproteobacteria	GCA_000750555.1 	4.63147	50.8	chromosome:NZ_CP009273.1/CP009273.1	-	1	4774	4463	2014/09/09	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/750/555/GCF_000750555.1_ASM75055v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/555/GCA_000750555.1_ASM75055v1
Escherichia coli	ECONIH1	19668	SAMN02709589 	PRJNA242851	Proteobacteria	Gammaproteobacteria	GCA_000784925.1 	5.55964	50.4351	chromosome:NZ_CP009859.1/CP009859.1; plasmid pECO-824:NZ_CP009860.1/CP009860.1; plasmid pECO-b75:NZ_CP009861.1/CP009861.1; plasmid pKPC-629:NZ_CP009862.1/CP009862.1	-	4	5794	5364	2014/11/17	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/784/925/GCF_000784925.1_ASM78492v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/784/925/GCA_000784925.1_ASM78492v1
Escherichia coli ER2796	ER2796	19668	SAMN03093203 	PRJNA263007	Proteobacteria	Gammaproteobacteria	GCA_000800215.1 	4.55866	50.8	chromosome:NZ_CP009644.1/CP009644.1	-	1	4702	4363	2014/12/09	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/800/215/GCF_000800215.1_ASM80021v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/800/215/GCA_000800215.1_ASM80021v1
Escherichia coli K-12	ER3413	19668	SAMN03107000 	PRJNA263793	Proteobacteria	Gammaproteobacteria	GCA_000800765.1 	4.55866	50.8	chromosome:NZ_CP009789.1/CP009789.1	-	1	4701	4361	2014/12/11	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/800/765/GCF_000800765.1_ASM80076v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/800/765/GCA_000800765.1_ASM80076v1
Escherichia coli RS218	RS218	19668	SAMN03339595 	PRJNA228944	Proteobacteria	Gammaproteobacteria	GCA_000800845.2 	5.20187	50.6088	chromosome:NZ_CP007149.1/CP007149.1; plasmid pRS218:NZ_CP007150.1/CP007150.1	-	2	5415	4877	2015/02/13	2017/03/05	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/800/845/GCF_000800845.1_ASM80084v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/800/845/GCA_000800845.2_ASM80084v2
Escherichia coli	RM9387	19668	SAMN03264844 	PRJNA253935	Proteobacteria	Gammaproteobacteria	GCA_000801165.1 	4.99595	50.7528	chromosome:NZ_CP009104.1/CP009104.1; plasmid pO104_H7:NZ_CP009105.1/CP009105.1	-	2	5187	4860	2014/12/15	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/801/165/GCF_000801165.1_ASM80116v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/801/165/GCA_000801165.1_ASM80116v1
Escherichia coli	94-3024	19668	SAMN03262652 	PRJNA253936	Proteobacteria	Gammaproteobacteria	GCA_000801185.2 	5.04591	50.6616	chromosome:NZ_CP009106.2/CP009106.2; plasmid pO104_H21:NZ_CP009107.1/CP009107.1	-	2	5188	4865	2014/12/15	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/801/185/GCF_000801185.2_ASM80118v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/801/185/GCA_000801185.2_ASM80118v2
Escherichia coli str. K-12 substr. MG1655	K-12 substr. MG1655	19668	SAMN02743420 	PRJNA237120	Proteobacteria	Gammaproteobacteria	GCA_000801205.1 	4.63683	50.8	chromosome:NZ_CP009685.1/CP009685.1	-	1	4782	4454	2014/12/15	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/801/205/GCF_000801205.1_ASM80120v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/801/205/GCA_000801205.1_ASM80120v1
Escherichia coli O157:H7 str. SS52	SS52	19668	SAMN03265100 	PRJNA201344	Proteobacteria	Gammaproteobacteria	GCA_000803705.1 	5.58343	50.4559	chromosome:NZ_CP010304.1/CP010304.1; plasmid p0157:NZ_CP010305.1/CP010305.1	-	2	5968	5541	2014/12/18	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/803/705/GCF_000803705.1_ASM80370v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/803/705/GCA_000803705.1_ASM80370v1
Escherichia coli APEC IMT5155	APEC IMT5155	19668	SAMN03274236 	PRJNA200980	Proteobacteria	Gammaproteobacteria	GCA_000813165.1 	5.12606	50.565	chromosome:NZ_CP005930.1/CP005930.1; plasmid p1ColV5155:NZ_CP005931.1/CP005931.1; plasmid p25155:NZ_CP005932.1/CP005932.1	-	3	5360	4895	2015/01/02	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/813/165/GCF_000813165.1_ASM81316v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/813/165/GCA_000813165.1_ASM81316v1
Escherichia coli	6409	19668	SAMN03263950 	PRJNA270222	Proteobacteria	Gammaproteobacteria	GCA_000814145.2 	5.1065	50.9086	chromosome:NZ_CP010371.1/CP010371.1; plasmid p6409-151.583kb:NZ_CP010372.1/CP010372.1; plasmid p6409-202.186kb:NZ_CP010373.2/CP010373.2	-	3	5332	4945	2015/01/05	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/814/145/GCF_000814145.2_ASM81414v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/814/145/GCA_000814145.2_ASM81414v2
Escherichia coli	789	19668	SAMN03083542 	PRJNA262513	Proteobacteria	Gammaproteobacteria	GCA_000819645.1 	5.27307	50.7866	chromosome:NZ_CP010315.1/CP010315.1; plasmid pAPEC-O78-2:NZ_CP010317.1/CP010317.1; plasmid pAPEC-O78-3:NZ_CP010318.1/CP010318.1; plasmid pAPEC-O78-ColV:NZ_CP010316.1/CP010316.1	-	4	5470	5066	2015/01/16	2017/03/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/819/645/GCF_000819645.1_ASM81964v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/819/645/GCA_000819645.1_ASM81964v1
Escherichia coli O157:H16	Santai	19668	SAMN02673556 	PRJNA240262	Proteobacteria	Gammaproteobacteria	GCA_000827105.1 	5.10456	50.6	chromosome:NZ_CP007592.1/CP007592.1	-	1	5199	4838	2015/01/21	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/827/105/GCF_000827105.1_ASM82710v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/827/105/GCA_000827105.1_ASM82710v1
Escherichia coli 1303	1303	19668	SAMN02949643 	PRJNA46529	Proteobacteria	Gammaproteobacteria	GCA_000829985.1 	5.15693	50.5867	chromosome:NZ_CP009166.1/CP009166.1; plasmid p1303_109:NZ_CP009167.1/CP009167.1; plasmid p1303_5:NZ_CP009169.1/CP009169.1; plasmid p1303_95:NZ_CP009168.1/CP009168.1	-	4	5284	4917	2015/01/29	2017/03/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/829/985/GCF_000829985.1_ASM82998v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/829/985/GCA_000829985.1_ASM82998v1
Escherichia coli	C41(DE3)	19668	SAMN03292179 	PRJNA273434	Proteobacteria	Gammaproteobacteria	GCA_000830035.1 	4.55751	50.8	chromosome:NZ_CP010585.1/CP010585.1	-	1	4697	4339	2015/01/29	2017/02/25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/830/035/GCF_000830035.1_ASM83003v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/830/035/GCA_000830035.1_ASM83003v1
Escherichia coli ECC-1470	ECC-1470	19668	SAMN02949644 	PRJNA257276	Proteobacteria	Gammaproteobacteria	GCA_000831565.1 	4.90381	50.7469	chromosome:NZ_CP010344.1/CP010344.1; plasmid pECC-1470_100:NZ_CP010345.1/CP010345.1	-	2	5032	4718	2015/02/03	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/831/565/GCF_000831565.1_ASM83156v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/831/565/GCA_000831565.1_ASM83156v1
Escherichia coli	BL21 (TaKaRa)	19668	SAMN03301757 	PRJNA272570	Proteobacteria	Gammaproteobacteria	GCA_000833145.1 	4.52812	50.8	chromosome:NZ_CP010816.1/CP010816.1	-	1	4656	4300	2015/02/05	2017/02/25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/833/145/GCF_000833145.1_ASM83314v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/833/145/GCA_000833145.1_ASM83314v1
Escherichia coli	USML2	19668	SAMN03294311 	PRJNA273553	Proteobacteria	Gammaproteobacteria	GCA_000833635.2 	4.50276	50.8	chromosome:NZ_CP011124.1/CP011124.1	-	1	4614	4290	2017/03/17	2017/03/20	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/833/635/GCF_000833635.2_ASM83363v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/833/635/GCA_000833635.2_ASM83363v2
Escherichia coli	MNCRE44	19668	SAMN03287565 	PRJNA272863	Proteobacteria	Gammaproteobacteria	GCA_000931565.1 	5.29227	50.786	chromosome:NZ_CP010876.1/CP010876.1; plasmid pMNCRE44_1:NZ_CP010877.1/CP010877.1; plasmid pMNCRE44_2:NZ_CP010878.1/CP010878.1; plasmid pMNCRE44_3:NZ_CP010879.1/CP010879.1; plasmid pMNCRE44_4:NZ_CP010880.1/CP010880.1; plasmid pMNCRE44_5:NZ_CP010881.1/CP010881.1; plasmid pMNCRE44_6:NZ_CP010882.1/CP010882.1	-	7	5587	5168	2015/02/23	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/931/565/GCF_000931565.1_ASM93156v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/931/565/GCA_000931565.1_ASM93156v1
